# Mock IMU log - MPU-6050 style, +/-16 g accel, +/-2000 dps gyro
# nominal sample rate 100 Hz, device at rest then bumped
# t_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps

0.000,-0.0031,0.0061,0.9973,-0.1103,-0.3255,-0.0747
0.010,0.0133,0.0051,1.0124,0.0871,0.1382,0.0649
0.020,-0.0200,0.0103,1.0061,0.1746,-0.5920,-0.6104
0.030,-0.0107,-0.0056,1.0037,-0.0161,0.1823,-0.2248
0.040,0.0037,0.0047,0.9921,0.6011,0.1948,0.4190
0.050,-0.0074,-0.0089,0.9959,-0.0372,0.2212,0.0869
0.070,-0.0054,-0.0115,0.9938,0.4273,-0.2828,0.0857
0.060,0.0051,-0.0179,1.0006,0.4572,-0.7050,-0.1126
0.080,1.2e-2,-4.3e-3,9.9871e-1,2.1e-1,-1.3e-1,5.0e-2
0.090,-0.0013,-0.0098,1.0060,-0.0218,-0.5126,0.2897

# --- bump event ---
0.100,0.2343,0.3310,1.5762,16.3010,5.3673,-58.4626
0.110,0.4308,-0.4282,0.6378,-113.8309,-87.0853,-47.8009
0.120,2.5000,-3.1000,2.0000,180.0000,-95.0000,44.0000
0.120,2.4000,-3.0000,1.9000,175.0000,-90.0000,40.0000
0.130,16.0000,-2.2000,3.4000,410.0000,-220.0000,88.0000
0.140,1.8000,-0.9000,1.1000,2000.0000,-140.0000,30.0000
0.150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.160,0.5413,-0.8534,0.3003,12.9250,77.9409,31.2388

# --- malformed rows below this point ---
0.170,0.0121,-0.0043,0.9987,0.21,-0.13
0.180,0.0121,-0.0043,0.9987,0.21,-0.13,0.05,99.0
0.190,,-0.0043,0.9987,0.21,-0.13,0.05
0.200,abc,-0.0043,0.9987,0.21,-0.13,0.05
0.210,0.0121xyz,-0.0043,0.9987,0.21,-0.13,0.05
0.220,nan,-0.0043,0.9987,0.21,-0.13,0.05
0.230,-inf,-0.0043,0.9987,0.21,-0.13,0.05
0.240,1e400,-0.0043,0.9987,0.21,-0.13,0.05

# --- whitespace / line-ending torture ---
  0.250 ,  0.0110 , -0.0050 ,  0.9990 ,  0.30 , -0.10 ,  0.02  
0.260,	0.0090,	-0.0020,	1.0010,	0.15,	-0.22,	0.07
0.270,0.0130,-0.0060,0.9970,0.25,-0.18,0.04
   # an indented comment line
0.280,-0.0228,-0.0302,1.0043,-0.2577,-0.3919,0.3421
0.290,0.0132,0.0019,1.0029,0.1520,0.5579,0.2167
0.300,0.0062,0.0066,0.9812,0.4486,0.3343,0.1854
0.310,-0.0237,-0.0076,1.0101,-0.6339,-0.0644,0.3568
0.320,-0.0157,0.0193,1.0066,-0.0525,0.1137,0.2274
0.330,0.0014,0.0137,0.9921,-0.1452,0.3646,0.0094
0.420,-0.0106,0.0114,1.0176,-0.1557,-0.4830,-0.0472
0.430,-0.0018,-0.0036,1.0169,-0.3594,0.4412,-0.4439
0.440,-0.0094,0.0076,1.0135,0.3007,0.1208,0.0498
0.450,0.0018,0.0069,0.9979,0.0971,0.2005,0.0003

